,code,naam,sem,prof
211,H02A6A,Speech Recognition,First term,['D.Van Compernolle']
212,H02B1A,Natural Language Processing,First term,['M.Moens']
213,H04G0A,Bedrijfservaring: Computerwetenschappen / Industrial Experience: Computer Science,First term,"['Y.Berbers', 'W.Joosen']"
214,H04I9A,IndustriÃ«le stage: Computerwetenschappen / Industrial Internship: Computer Science,First term,"['Y.Berbers', 'W.Joosen']"
215,H0E83A,Ontwerp en implementatie van analoge schakelingen,Eerste semester,"['P.Reynaert', 'F.Tavernier']"
216,H05D7A,Computer-Aided IC Design,Eerste semester,"['G.Gielen', 'M.Steyaert']"
217,H05E9A,Electromagnetic Interference in Analogue and Digital Systems,Eerste semester,['G.Vandenbosch']
218,H05H2A,Compute Platforms for AI and Embedded Processing,Eerste semester,"['M.Verhelst', 'W.Dehaene']"
219,H09I9A,Design of RF and mm-Wave Integrated Circuits,Eerste semester,"['P.Reynaert', 'M.Steyaert']"
220,H06F2A,Semiconductor Physics,Eerste semester,['B.SorÃ©e']
221,H06G4A,Materials Physics and Technology for Nanoelectronics,Eerste semester,"['C.Merckling', 'F.Molina Lopez']"
222,H04A0A,Power Systems,Eerste semester,['J.Beerten']
223,H0E87A,Numerieke methoden voor elektrotechnische toepassingen,Eerste semester,['R.Vazquez Sabariego']
224,H04C8A,Electromobility,Eerste semester,"['J.Driesen', 'K.De GussemÃ©']"
225,H04E8A,Veiligheid in elektrische installaties,Eerste semester,"['F.Vanwynsberghe', 'G.Deconinck']"
226,H03E1B,System Identification and Modeling,Eerste semester,['B.De Moor']
227,H05S2A,Telecommunications and Security Management,Eerste semester,"['D.Schreurs', 'N.Smart']"
228,H09L2A,Privacy Technologies,Eerste semester,['M.Diaz Martinez']
229,H05T6A,Telecom Systems: Capita Selecta,Eerste semester,"['S.Pollin', 'I.Fernandez-Hernandez']"
230,H05T7A,Software Defined Radio and Networking,Eerste semester,['S.Pollin']
231,H05F9A,Masterproef,Beide semesters,['V.Rijmen']
232,H03F6A,IndustriÃ«le stage: Elektrotechniek / Industrial Internship: Electrical Engineering,Eerste semester,"['T.Tuytelaars', 'S.Pollin', 'P.Reynaert', 'D.Van Hertem']"
233,H05W9A,Bedrijfservaring: Elektrotechniek / Industrial Experience: Electrical Engineering,Eerste semester,"['T.Tuytelaars', 'S.Pollin', 'P.Reynaert', 'D.Van Hertem']"
234,H0E92A,Design and Implementation of Analog Circuits,First term,"['P.Reynaert', 'F.Tavernier']"
235,H05D7A,Computer-Aided IC Design,First term,"['G.Gielen', 'M.Steyaert']"
236,H05E9A,Electromagnetic Interference in Analogue and Digital Systems,First term,['G.Vandenbosch']
237,H05H2A,Compute Platforms for AI and Embedded Processing,First term,"['M.Verhelst', 'W.Dehaene']"
238,H09I9A,Design of RF and mm-Wave Integrated Circuits,First term,"['P.Reynaert', 'M.Steyaert']"
239,H06F2A,Semiconductor Physics,First term,['B.SorÃ©e']
240,H06G4A,Materials Physics and Technology for Nanoelectronics,First term,"['C.Merckling', 'F.Molina Lopez']"
241,H04A0A,Power Systems,First term,['J.Beerten']
242,H04C8A,Electromobility,First term,"['J.Driesen', 'K.De GussemÃ©']"
243,H04E8A,Veiligheid in elektrische installaties,First term,"['F.Vanwynsberghe', 'G.Deconinck']"
244,H03E1B,System Identification and Modeling,First term,['B.De Moor']
245,H0P08A,Optimization Problems in Energy Systems,First term,"['E.Delarue', 'K.Bruninx', 'H.Ergun']"
246,H05S2A,Telecommunications and Security Management,First term,"['D.Schreurs', 'N.Smart']"
247,H09L2A,Privacy Technologies,First term,['M.Diaz Martinez']
248,H05T6A,Telecom Systems: Capita Selecta,First term,"['S.Pollin', 'I.Fernandez-Hernandez']"
249,H05T7A,Software Defined Radio and Networking,First term,['S.Pollin']
250,H08N0A,Introduction to Safety Engineering,First term,"['K.Bernaerts', 'G.Boogaerts', 'G.De Smet']"
251,H03F6A,IndustriÃ«le stage: Elektrotechniek / Industrial Internship: Electrical Engineering,First term,"['T.Tuytelaars', 'S.Pollin', 'P.Reynaert', 'D.Van Hertem']"
252,H05W9A,Bedrijfservaring: Elektrotechniek / Industrial Experience: Electrical Engineering,First term,"['T.Tuytelaars', 'S.Pollin', 'P.Reynaert', 'D.Van Hertem']"
253,H04Y9A,Tweefasenstroming: theorie en toepassingen,Eerste semester,"['L.Helsen', 'M.Vetrano']"
254,H05A6A,Geavanceerde meettechnieken in de stromingsmechanica,Eerste semester,"['L.Helsen', 'M.Vetrano']"
255,H04Z8A,Aircraft Engines,Eerste semester,['P.Hendrick']
256,H04U8A,Numerical Techniques in Fluid Dynamics,Eerste semester,"['J.Meyers', 'M.Baelmans']"
257,H04Y7A,Turbulence,Eerste semester,['J.Meyers']
258,D0M36A,Environmental and Transportation Economics,Eerste semester,['S.Proost']
259,D0M36B,Environmental and Transportation Economics,Eerste semester,['S.Proost']
260,G0Q20C,Fundamentals of Financial Mathematics,Eerste semester,['W.Schoutens']
261,S0F06A,Global Environmental Politics,Eerste semester,"['K.Biedenkopf', 'J.Delbeke', 'L.Bomans']"
262,H0P08A,Optimization Problems in Energy Systems,Eerste semester,"['E.Delarue', 'K.Bruninx', 'H.Ergun']"
263,H06E2A,Quantum Physics,Eerste semester,"['P.Lievens', 'P.Ferrari Ramirez']"
264,H04F2A,IndustriÃ«le stage: Energie / Industrial Internship: Energy,Eerste semester,['G.Deconinck']
265,H04F3A,Masterproef,Beide semesters,['E.Delarue']
266,H06M9A,Bedrijfservaring: Energie / Industrial Experience: Energy,Eerste semester,['G.Deconinck']
267,P0M42A,"Organisatiepsychologie, deel 1",Eerste semester,['J.Stouten']
268,H04U8A,Numerical Techniques in Fluid Dynamics,First term,"['J.Meyers', 'M.Baelmans']"
269,H04Y7A,Turbulence,First term,['J.Meyers']
270,H04Z8A,Aircraft Engines,First term,['P.Hendrick']
271,H0A21A,Two-Phase Flow: Theory and Applications,First term,['M.Vetrano']
272,H0E66A,Advanced Measurement Techniques in Fluid Mechanics,First term,['M.Vetrano']
273,D0M36A,Environmental and Transportation Economics,First term,['S.Proost']
274,D0M36B,Environmental and Transportation Economics,First term,['S.Proost']
275,G0Q20C,Fundamentals of Financial Mathematics,First term,['W.Schoutens']
276,S0F06A,Global Environmental Politics,First term,"['K.Biedenkopf', 'J.Delbeke', 'L.Bomans']"
277,H06E2A,Quantum Physics,First term,"['P.Lievens', 'P.Ferrari Ramirez']"
278,H04F2A,IndustriÃ«le stage: Energie / Industrial Internship: Energy,First term,['G.Deconinck']
279,H06M9A,Bedrijfservaring: Energie / Industrial Experience: Energy,First term,['G.Deconinck']
280,H02U3A,Metals: Production and Recycling,Eerste semester,"['B.Blanpain', 'F.Verhaeghe']"
281,H0P65A,Adhesion Science and Engineering,Eerste semester,['D.Seveno']
282,H02V8A,Design and Analysis of Experimentation,Eerste semester,['M.Diehl']
283,H0T30A,Projectonderwijs materiaalkunde aansluitend bij de gemeenschappelijke opleidingsonderdelen: deel I,Eerste semester,"['J.Vleugels', 'B.Blanpain', 'N.Moelans', 'M.Seefeldt', 'M.Wevers']"
284,H0S55A,Metals: Shaping and Joining,Eerste semester,"['K.Vanmeensel', 'H.Mohrbacher']"
285,H0S57A,Composites Manufacturing,Eerste semester,['J.Ivens']
286,H06F6A,"Structure, Synthesis and Cellular Function of Macromolecules",Eerste semester,"['P.Proost', 'H.Steenackers', 'L.Temmerman', 'J.Vanden Broeck']"
287,H02V3A,Computational Thermodynamics in Materials Design,Eerste semester,['N.Moelans']
288,H02W8A,Materials Characterisation Techniques II,Eerste semester,"['J.Seo', 'I.De Wolf']"
289,H02X1A,Materiaalmodellering voor simulaties van vormgevingstechnieken,Eerste semester,['A.Van Bael']
290,H0S61A,Wetenschappelijk schrijven,Beide semesters,['Y.Pontikes']
291,H02W6A,IndustriÃ«le stage: Materiaalkunde / Industrial Internship: Materials Engineering,Eerste semester,"['Y.Pontikes', 'B.Blanpain', 'I.De Wolf', 'M.Wevers', 'D.Seveno']"
292,H0S64A,Bedrijfservaring: Materiaalkunde / Industrial Experience: Materials Engineering,Eerste semester,[]
293,I0T97A,Functional Anatomy of the Human Locomotor System,Eerste semester,"['H.Vandenneucker', 'M.Mulier']"
294,G0H96A,Chemistry and Characterisation of Surfaces and Thin Films,Eerste semester,"['S.De Gendt', 'A.Delabie']"
295,H06T1A,Applied Physical Chemistry,Eerste semester,"['S.Kuhn', 'J.Martens']"
296,H0S63A,Recent Developments in Composites Research and Technology,Eerste semester,"['D.Seveno', 'L.Gorbatikh', 'C.Breite', 'S.Lomov', 'A.Van Vuure']"
297,D0T31A,Industrial Organisation: Theory and Applications,Eerste semester,['J.Seldeslachts']
298,D0S34A,Operations strategie,Eerste semester,['M.Udenio Castro']
299,H02Y9A,Masterproef,Beide semesters,['M.Seefeldt']
300,H02U3A,Metals: Production and Recycling,First term,"['B.Blanpain', 'F.Verhaeghe']"
301,H0P65A,Adhesion Science and Engineering,First term,['D.Seveno']
302,H0S53B,Quality Control and Advanced Non-Destructive Testing,First term,"['M.Wevers', 'I.De Wolf', 'G.Kerckhofs']"
303,H02V8A,Design and Analysis of Experimentation,First term,['M.Diehl']
304,H00B3B,Project Work and Problem Solving linked to the Core Courses: Part I,First term,"['J.Vleugels', 'B.Blanpain', 'M.Seefeldt', 'D.Seveno', 'M.Wevers']"
305,H0S55A,Metals: Shaping and Joining,First term,"['K.Vanmeensel', 'H.Mohrbacher']"
306,H0S57A,Composites Manufacturing,First term,['J.Ivens']
307,H06F6A,"Structure, Synthesis and Cellular Function of Macromolecules",First term,"['P.Proost', 'H.Steenackers', 'L.Temmerman', 'J.Vanden Broeck']"
308,H02V3A,Computational Thermodynamics in Materials Design,First term,['N.Moelans']
309,H02W8A,Materials Characterisation Techniques II,First term,"['J.Seo', 'I.De Wolf']"
310,H00B4A,Materials Modelling for Forming Process Simulations,First term,['A.Van Bael']
311,H02W6A,IndustriÃ«le stage: Materiaalkunde / Industrial Internship: Materials Engineering,First term,"['Y.Pontikes', 'B.Blanpain', 'I.De Wolf', 'M.Wevers', 'D.Seveno']"
312,H0S64A,Bedrijfservaring: Materiaalkunde / Industrial Experience: Materials Engineering,First term,[]
313,H00B7B,Physical and Chemical Foundations of Materials Engineering,First term,['M.Seefeldt']
314,H08Z1B,Continuum Modelling of the Mechanical Response of Materials,First term,"['M.Seefeldt', 'M.Wevers']"
315,H9X55A,Physics and Mechanical Behaviour of Polymers,First term,['B.Goderis']
316,I0T97A,Functional Anatomy of the Human Locomotor System,First term,"['H.Vandenneucker', 'M.Mulier']"
317,G0H96A,Chemistry and Characterisation of Surfaces and Thin Films,First term,"['S.De Gendt', 'A.Delabie']"
318,H0S63A,Recent Developments in Composites Research and Technology,First term,"['D.Seveno', 'L.Gorbatikh', 'C.Breite', 'S.Lomov', 'A.Van Vuure']"
319,D0T31A,Industrial Organisation: Theory and Applications,First term,['J.Seldeslachts']
320,D0T33A,Organizational Behaviour,First term,['N.Dries']
321,H06L9A,Planning en evaluatie van transportinfrastructuur,Eerste semester,['M.De Ceuster']
322,H01I6B,Verkeerskunde,Eerste semester,['C.TampÃ¨re']
323,H08I6A,"GeÃ¯ntegreerd practicum 1: Organisatie van logistiek, transport en vervoer",Beide semesters,"['D.Cattrysse', 'P.Vansteenwegen']"
324,H0A25A,Vrachtvervoer management,Eerste semester,['A.Van Breedam']
325,H0A26A,Intelligente transportsystemen,Eerste semester,['C.TampÃ¨re']
326,H08I7A,GeÃ¯ntegreerd practicum 2: Dynamisch verkeersmanagement,Beide semesters,['C.TampÃ¨re']
327,H05A1A,Voertuigconstructies en voertuigdynamica,Eerste semester,"['F.Naets', 'W.Desmet']"
328,H06O9A,"IndustriÃ«le stage: Verkeer, logistiek en intelligente transportsystemen / Industrial Internship: Logistics and Traffic",Eerste semester,"['L.Pintelon', 'D.Cattrysse', 'C.TampÃ¨re', 'P.Vansteenwegen']"
329,H08J2A,"Bedrijfservaring: Verkeer, logistiek en intelligente transportsystemen / Industrial Experience: Logistics and Traffic",Eerste semester,"['L.Pintelon', 'D.Cattrysse', 'C.TampÃ¨re', 'P.Vansteenwegen']"
330,H08J9A,Masterproef,Beide semesters,['P.Vansteenwegen']
331,H05K3A,Freight Transport Management,First term,['A.Van Breedam']
332,H00M8B,Intelligent Transportation Systems,First term,['C.TampÃ¨re']
333,T42ASA,Applied Sustainability Assessment,First term,"['W.Dewulf', 'J.Van Caneghem', 'M.Abdelbaky']"
334,H02A0D,Fundamentals of Artificial Intelligence,First term,['T.Guns']
335,D0M60B,Combinatorial Optimization and Local Search Techniques,First term,['E.Demeulemeester']
336,H05A1A,Voertuigconstructies en voertuigdynamica,First term,"['F.Naets', 'W.Desmet']"
337,T42AUV,Autonomous Vehicles,First term,"['P.Slaets', 'E.Vander Poorten', 'O.Al-Ahmad', 'J.De Smet']"
338,H02L4A,Theory and Practice of Urbanism since 1945,First term,['B.De Meulder']
339,H03N1A,Landscape Architecture,First term,['S.Shannon']
340,H06O9A,"IndustriÃ«le stage: Verkeer, logistiek en intelligente transportsystemen / Industrial Internship: Logistics and Traffic",First term,"['L.Pintelon', 'D.Cattrysse', 'C.TampÃ¨re', 'P.Vansteenwegen']"
341,H08J2A,"Bedrijfservaring: Verkeer, logistiek en intelligente transportsystemen / Industrial Experience: Logistics and Traffic",First term,"['L.Pintelon', 'D.Cattrysse', 'C.TampÃ¨re', 'P.Vansteenwegen']"
342,D0R18A,Project Management and Scheduling,First term,['E.Demeulemeester']
343,D0S92A,Operations Strategy in Manufacturing and Services,First term,['M.Udenio Castro']
344,D0S99A,Applied Optimization,First term,"['R.Leus', 'M.Davari', 'H.Yaman Paternotte']"
345,H04Q2A,Geavanceerde materiaalafnameprocessen,Eerste semester,['S.Castagne']
346,H06U9B,Advanced Robot Control Systems,Eerste semester,['H.Bruyninckx']
347,H04Q7A,Advanced Model Based Control,Eerste semester,['J.Swevers']
348,H04X5A,Spacecraft Technology and Space Environment,Eerste semester,['J.Steelant']
349,H04R7A,"Luchtvaarttechnologie en -omgeving, deel 2",Beide semesters,['D.Vandepitte']
350,H05A5A,Voertuigsystemen,Eerste semester,['F.Naets']
351,H04X0A,"Structural Dynamics, Analysis and Numerical Modelling",Eerste semester,"['K.Gryllias', 'E.Heylen']"
352,H04Q4A,Advanced Techniques for Vibro-acoustic Measurement and Analysis,Eerste semester,"['K.Gryllias', 'H.Van Der Auweraer']"
353,H0A13A,Dredging Technology for Mechanical Engineers,Eerste semester,"['G.Vanneste', 'J.Fordeyn']"
354,H06X2A,Advanced Study Topics in Musculoskeletal Biomechanics,Eerste semester,"['G.van Lenthe', 'N.Famaey', 'I.Jonkers']"
355,H04Q9A,IndustriÃ«le stage: Werktuigkunde / Industrial Internship: Mechanical Engineering,Eerste semester,['H.Bruyninckx']
356,H04S3A,Masterproef,Beide semesters,['S.Castagne']
357,H08N0A,Introduction to Safety Engineering,Eerste semester,"['K.Bernaerts', 'G.Boogaerts', 'G.De Smet']"
358,H04O7A,Bedrijfservaring: Werktuigkunde / Industrial Experience: Mechanical Engineering,Eerste semester,['H.Bruyninckx']
359,H0E73A,Stage studiebegeleiding: Werktuigkunde,Beide semesters,"['D.Vandepitte', 'M.Baelmans', 'W.Desmet', 'J.Vander Sloten']"
360,H04V6A,Introduction to Operational Management and Logistics,First term,['D.Cattrysse']
361,H0E62A,Advanced Subtractive Manufacturing,First term,['S.Castagne']
